corruption,severity,size_bin,class_name,AP50,AP50_95,R50_max,R50_at_conf_025,clean_AP50_95,absolute_drop_AP50_95,retention_ratio
defocus_blur,2,ALL,all_macro,0.6156151347803209,0.3788211343020391,0.7670015176120135,0.5343399256405049,0.6069524313063762,0.2281312970043371,0.6241364475411724
defocus_blur,2,ALL,hat,0.7237425959488272,0.5406278035021794,0.820021299254526,0.6490947816826411,0.7125204886571556,0.17189268515497613,0.7587540458255005
defocus_blur,2,ALL,person,0.5074876736118146,0.21701446510189887,0.7139817359695009,0.41958506959836867,0.5013843739555969,0.284369908853698,0.43283053157360246
defocus_blur,2,ES,all_macro,0.26459570174627034,0.08580093885564877,0.4295998685645154,0.19203980442461166,0.3141471092881632,0.22834617043251443,0.27312343904761077
defocus_blur,2,ES,hat,0.11483051281559033,0.033335552492409395,0.2112676056338028,0.03755868544600939,0.22565674694100948,0.19232119444860007,0.14772681492711529
defocus_blur,2,ES,person,0.41436089067695037,0.13826632521888815,0.647932131495228,0.34652092340321394,0.40263747163531693,0.2643711464164288,0.34340153353665226
defocus_blur,2,S,all_macro,0.4943790244251108,0.24489444561387236,0.7568716922151233,0.4355185556384325,0.5541587548627844,0.3092643092489121,0.4419210983583771
defocus_blur,2,S,hat,0.5068830071199598,0.29214309369555236,0.7774725274725275,0.4725274725274725,0.5744331893389237,0.2822900956433714,0.5085762785255498
defocus_blur,2,S,person,0.48187504173026174,0.19764579753219239,0.7362708569577191,0.3985096387493925,0.5338843203866451,0.33623852285445277,0.3702034129585507
defocus_blur,2,M,all_macro,0.7794507469524069,0.4926953974662914,0.8846294557050498,0.6905968398192757,0.6939112923987594,0.201215894932468,0.7100264873383292
defocus_blur,2,L,all_macro,0.9026826411160848,0.6894864217936434,0.9475838309600367,0.8149793293523198,0.8156218251468484,0.12613540335320506,0.8453506276263573
defocus_blur,3,ALL,all_macro,0.4504920099576162,0.27749592598455025,0.6063619838426677,0.3537648920340807,0.6069524313063762,0.32945650532182597,0.4571955093536423
defocus_blur,3,ALL,hat,0.5897760357526767,0.4255004935240341,0.7103301384451545,0.5207667731629393,0.7125204886571556,0.2870199951331215,0.5971765027079421
defocus_blur,3,ALL,person,0.31120798416255574,0.1294913584450664,0.5023938292401808,0.1867630109052221,0.5013843739555969,0.37189301551053044,0.25826763890438736
defocus_blur,3,ES,all_macro,0.12177689076493854,0.03624017488084297,0.26884435196982803,0.05634855985848473,0.3141471092881632,0.2779069344073202,0.11536052317323828
defocus_blur,3,ES,hat,0.010291521917341933,0.0027810931909515216,0.0892018779342723,0.004694835680751174,0.22565674694100948,0.22287565375005797,0.01232444067661113
defocus_blur,3,ES,person,0.23326225961253516,0.06969925657073442,0.4484868260053838,0.10800228403621828,0.40263747163531693,0.33293821506458254,0.17310673119332398
defocus_blur,3,S,all_macro,0.29380760725966015,0.1407618740907061,0.5046139871791905,0.24108756139373344,0.5541587548627844,0.41339688077207837,0.25401001582219923
defocus_blur,3,S,hat,0.3285193472639088,0.17665163941784315,0.5357142857142857,0.3021978021978022,0.5744331893389237,0.3977815499210806,0.3075233860027126
defocus_blur,3,S,person,0.25909586725541145,0.10487210876356905,0.47351368864409527,0.17997732058966467,0.5338843203866451,0.42901221162307607,0.1964322696115508
defocus_blur,3,M,all_macro,0.5932278272836238,0.3516694932878047,0.7433217078330545,0.48210521922817706,0.6939112923987594,0.34224179911095465,0.5067931551771263
defocus_blur,3,L,all_macro,0.8266828548778755,0.6083958451177811,0.9040055121727147,0.7077308222324299,0.8156218251468484,0.20722598002906734,0.7459288439323489
defocus_blur,4,ALL,all_macro,0.32868909844492644,0.20471887992293009,0.4413441493285655,0.24554526629780565,0.6069524313063762,0.40223355138344613,0.33728982596264206
defocus_blur,4,ALL,hat,0.47128017095614344,0.32770064450172554,0.6219382321618744,0.410010649627263,0.7125204886571556,0.38481984415543,0.4599175037328726
defocus_blur,4,ALL,person,0.1860980259337094,0.08173711534413466,0.26075006649525667,0.08107988296834825,0.5013843739555969,0.41964725861146224,0.1630228614810668
defocus_blur,4,ES,all_macro,0.06319239664895766,0.018783229613727102,0.0898115670119912,0.0066481768496614736,0.3141471092881632,0.2953638796744361,0.059791190363930685
defocus_blur,4,ES,hat,0.0,0.0,0.0,0.0,0.22565674694100948,0.22565674694100948,0.0
defocus_blur,4,ES,person,0.12638479329791533,0.037566459227454205,0.1796231340239824,0.013296353699322947,0.40263747163531693,0.3650710124078627,0.0933009515355776
defocus_blur,4,S,all_macro,0.18333050744693963,0.08724037632151484,0.3227819483286841,0.1499840674472134,0.5541587548627844,0.4669183785412696,0.15742849058320205
defocus_blur,4,S,hat,0.22377472976254423,0.11624342806466703,0.3956043956043956,0.21978021978021978,0.5744331893389237,0.4581897612742567,0.20236196344860177
defocus_blur,4,S,person,0.14288628513133506,0.05823732457836265,0.24995950105297263,0.08018791511420703,0.5338843203866451,0.47564699580828246,0.10908229059094021
defocus_blur,4,M,all_macro,0.4299541271143803,0.24420277558086773,0.5958647437657572,0.32662825909238413,0.6939112923987594,0.44970851681789165,0.35192218120084356
defocus_blur,4,L,all_macro,0.7377790655347573,0.5227809641283612,0.8329260450160771,0.595925585668351,0.8156218251468484,0.2928408610184873,0.6409599988747692
defocus_blur,5,ALL,all_macro,0.25788870977598044,0.16044767755349684,0.331428198199959,0.18987091469619294,0.6069524313063762,0.44650475375287935,0.26434967433635076
defocus_blur,5,ALL,hat,0.3846921944512363,0.2592402284502847,0.5324813631522897,0.32800851970181044,0.7125204886571556,0.45328026020687084,0.36383547221057344
defocus_blur,5,ALL,person,0.13108522510072462,0.06165512665670895,0.13037503324762834,0.05173330969057541,0.5013843739555969,0.4397292472988879,0.1229697809891642
defocus_blur,5,ES,all_macro,0.04521880610531969,0.013035241089049243,0.028305734562362347,0.0011420181091443022,0.3141471092881632,0.30111186819911395,0.0414940666447202
defocus_blur,5,ES,hat,0.0,0.0,0.0,0.0,0.22565674694100948,0.22565674694100948,0.0
defocus_blur,5,ES,person,0.09043761221063938,0.026070482178098486,0.05661146912472469,0.0022840362182886043,0.40263747163531693,0.37656698945721845,0.06474926954069354
defocus_blur,5,S,all_macro,0.12771914347746488,0.06074535983125865,0.2064271383889074,0.09887684403721986,0.5541587548627844,0.49341339503152576,0.10961725191240522
defocus_blur,5,S,hat,0.16062188246824577,0.08258146559530834,0.2967032967032967,0.1510989010989011,0.5744331893389237,0.4918517237436154,0.14376165431935742
defocus_blur,5,S,person,0.09481640448668402,0.038909254067208965,0.11615098007451806,0.04665478697553863,0.5338843203866451,0.49497506631943616,0.07287955945031395
defocus_blur,5,M,all_macro,0.3220348903449821,0.17739054075880994,0.4534358540725394,0.24167129502508675,0.6939112923987594,0.5165207516399495,0.2556386424345313
defocus_blur,5,L,all_macro,0.6366206740493052,0.43680535967660805,0.7385392742305925,0.4732292145153882,0.8156218251468484,0.3788164654702404,0.5355488857816716
elastic_transform,1,ALL,all_macro,0.729850582521173,0.4436682945043513,0.8499827353103551,0.6913271537358059,0.6069524313063762,0.16328413680202492,0.7309770446909988
elastic_transform,1,ALL,hat,0.8299686835667737,0.6136518216235773,0.9009584664536742,0.7689030883919062,0.7125204886571556,0.09886866703357822,0.8612409487060364
elastic_transform,1,ALL,person,0.6297324814755724,0.2736847673851252,0.7990070041670361,0.6137512190797056,0.5013843739555969,0.22769960657047167,0.5458581910439894
elastic_transform,1,ES,all_macro,0.32251072479664145,0.10289634107274032,0.5851737939396446,0.3255820098829374,0.3141471092881632,0.21125076821542288,0.32754190005407563
elastic_transform,1,ES,hat,0.17139157808962358,0.056722502994102406,0.460093896713615,0.14084507042253522,0.22565674694100948,0.1689342439469071,0.25136630640576696
elastic_transform,1,ES,person,0.47362987150365937,0.1490701791513782,0.7102536911656742,0.5103189493433395,0.40263747163531693,0.2535672924839387,0.37023424209855055
elastic_transform,1,S,all_macro,0.7075239080707741,0.3461900486286986,0.9033619466553211,0.669750446378504,0.5541587548627844,0.2079687062340858,0.6247127661357961
elastic_transform,1,S,hat,0.7194981448201473,0.3977497538802944,0.9395604395604396,0.6840659340659341,0.5744331893389237,0.17668343545862936,0.6924212619713663
elastic_transform,1,S,person,0.695549671321401,0.2946303433771028,0.8671634537502025,0.655434958691074,0.5338843203866451,0.23925397700954232,0.5518617650425248
elastic_transform,1,M,all_macro,0.9036658565679935,0.587432738092335,0.9534214229549935,0.861734097688525,0.6939112923987594,0.10647855430642439,0.846553074618022
elastic_transform,1,L,all_macro,0.9488699996759391,0.7501486872682624,0.9703536977491961,0.8882912264584291,0.8156218251468484,0.065473137878586,0.9197261085224173
elastic_transform,2,ALL,all_macro,0.6957891921581008,0.4183137841796616,0.8224775164831284,0.6614307022172923,0.6069524313063762,0.18863864712671463,0.689203572806031
elastic_transform,2,ALL,hat,0.7863229270847057,0.5797893386385249,0.8588924387646433,0.7321618743343983,0.7125204886571556,0.13273115001863067,0.8137160234244196
elastic_transform,2,ALL,person,0.6052554572314957,0.25683822972079834,0.7860625942016136,0.5906995301001862,0.5013843739555969,0.24454614423479853,0.5122581457705027
elastic_transform,2,ES,all_macro,0.3061077242371859,0.09884506271171489,0.5353340096592827,0.31348665175379437,0.3141471092881632,0.2153020465764483,0.3146457815120163
elastic_transform,2,ES,hat,0.1602075485224558,0.05984291865958091,0.3755868544600939,0.13615023474178403,0.22565674694100948,0.16581382828142857,0.2651944578250296
